English Value,Language,Localized Value,String Type
Account,en,Account,Label
Account group,en,Account group,Label
Actual total quantity,en,Actual total quantity,Label
Actual total quantity:,en,Actual total quantity:,Label
Add,en,Add,Button
Advanced search,en,Advanced search,Tooltip
All purchase order items have a completed goods receipt,en,All purchase order items have a completed goods receipt,Notification
Amount,en,Amount,Label
Approve,en,Approve,Button
Approved by,en,Approved by,Label
Attachments,en,Attachments,Button
Baseline date,en,Baseline date,Label
Cancel,en,Cancel,Button
Chart of accounts,en,Chart of accounts,Label
City,en,City,Label
Clear,en,Clear,Button
Clearing date,en,Clearing date,Label
Clearing document,en,Clearing document,Label
Collapse company codes,en,Collapse company codes,Tooltip
Collapse emails,en,Collapse emails,Tooltip
Collapse menu,en,Collapse menu,Accessible Label
Collapse phones,en,Collapse phones,Tooltip
Collapse purchasing organizations,en,Collapse purchasing organizations,Tooltip
Company code,en,Company code,Label
Company code already exists for vendor,en,Company code already exists for vendor,Notification
Company codes,en,Company codes,Label
Convert to purchase order,en,Convert to purchase order,Button
Copy,en,Copy,Button
Country,en,Country,Label
Create,en,Create,Button
Create goods receipt,en,Create goods receipt,Label
Created by,en,Created by,Label
Created from,en,Created from,Label
Created on,en,Created on,Label
Created to,en,Created to,Label
Currency,en,Currency,Label
Customers,en,Customers,Label
Data to,en,Data to,Label
Date from,en,Date from,Label
Default email,en,Default email,Label
Default phone,en,Default phone,Label
Delete,en,Delete,Button
Delivery note,en,Delivery note,Label
Description,en,Description,Label
Details,en,Details,Label
Divider,en,Divider,Accessible Label
Document date,en,Document date,Label
Document status,en,Document status,Label
Document type,en,Document type,Label
Done,en,Done,Button
Due date,en,Due date,Label
Due from,en,Due from,Label
Due to,en,Due to,Label
Edit,en,Edit,Button
Edit goods receipt item details,en,Edit goods receipt item details,Label
Edit purchase order item details,en,Edit purchase order item details,Label
Edit requisition item details,en,Edit requisition item details,Label
Edit vendor company code details,en,Edit vendor company code details,Label
Edit vendor email details,en,Edit vendor email details,Label
Edit vendor invoice item details,en,Edit vendor invoice item details,Label
Edit vendor phone details,en,Edit vendor phone details,Label
Edit vendor purchasing organization details,en,Edit vendor purchasing organization details,Label
Email address,en,Email address,Label
Emails,en,Emails,Label
Enter account,en,Enter account,Hint Text
Enter city,en,Enter city,Hint Text
Enter delivery note,en,Enter delivery note,Hint Text
Enter description,en,Enter description,Hint Text
Enter description required,en,Enter description required,Accessible Label
Enter email address,en,Enter email address,Hint Text
Enter email address required,en,Enter email address required,Accessible Label
Enter extension,en,Enter extension,Hint Text
Enter invoice number,en,Enter invoice number,Hint Text
Enter material,en,Enter material,Hint Text
Enter order number,en,Enter order number,Hint Text
Enter phone number,en,Enter phone number,Hint Text
Enter phone number required,en,Enter phone number required,Accessible Label
Enter postal code,en,Enter postal code,Hint Text
Enter purchase number,en,Enter purchase number,Hint Text
Enter purchase order required,en,Enter purchase order required,Accessible Label
Enter quantity,en,Enter quantity,Hint Text
Enter quantity received,en,Enter quantity received,Hint Text
Enter quantity received required,en,Enter quantity received required,Accessible Label
Enter quantity required,en,Enter quantity required,Accessible Label
Enter requisition,en,Enter requisition,Hint Text
Enter street,en,Enter street,Hint Text
Enter total price,en,Enter total price,Hint Text
Enter unit price,en,Enter unit price,Label
Enter unit price required,en,Enter unit price required,Accessible Label
Enter vendor name,en,Enter vendor name,Hint Text
Enter vendor name required,en,Enter vendor name required,Accessible Label
Enter vendor number,en,Enter vendor number,Hint Text
Enter vendor number required,en,Enter vendor number required,Accessible Label
Execute general ledger account search,en,Execute general ledger account search,Accessible Label
Execute search,en,Execute search,Accessible Label
Execute vendor search,en,Execute vendor search,Accessible Label
Expand company codes,en,Expand company codes,Tooltip
Expand emails,en,Expand emails,Tooltip
Expand menu,en,Expand menu,Accessible Label
Expand phones,en,Expand phones,Tooltip
Expand purchasing organizations,en,Expand purchasing organizations,Tooltip
Expected total quantity,en,Expected total quantity,Label
Extension,en,Extension,Label
Filter,en,Filter,Label
Filter company codes,en,Filter company codes,Hint Text
Filter emails,en,Filter emails,Hint Text
Filter general ledger accounts,en,Filter general ledger accounts,Hint Text
Filter goods receipts,en,Filter goods receipts,Hint Text
Filter items,en,Filter items,Hint Text
Filter materials,en,Filter materials,Hint Text
Filter phones,en,Filter phones,Hint Text
Filter purchase orders,en,Filter purchase orders,Label
Filter purchasing organizations,en,Filter purchasing organizations,Hint Text
Filter requisitions,en,Filter requisitions,Label
Filter vendor invoices,en,Filter vendor invoices,Hint Text
Filter vendor payments,en,Filter vendor payments,Hint Text
Filter vendors,en,Filter vendors,Hint Text
Fiscal year,en,Fiscal year,Label
General,en,General,Label
General ledger account,en,General ledger account,Label
General ledger account advanced search,en,General ledger account advanced search,Accessible Label
General ledger account not found for selected company code,en,General ledger account not found for selected company code,Notification
General ledger account search,en,General ledger account search,Label
general ledger accounts found based upon your search criteria,en,general ledger accounts found based upon your search criteria,Notification
Goods receipt,en,Goods receipt,Label
Goods receipt items,en,Goods receipt items,Accessible Label
Goods receipt not found,en,Goods receipt not found,Notification
Goods receipt search,en,Goods receipt search,Label
Goods receipt successfully created,en,Goods receipt successfully created,Notification
Goods Receipts,en,Goods Receipts,Accessible Label
goods receipts found based upon your search criteria,en,goods receipts found based upon your search criteria,Notification
Group,en,Group,Label
Header text,en,Header text,Label
Header-Text,en,Header-Text,Label
Invoice,en,Invoice,Label
Invoice number,en,Invoice number,Label
Invoices,en,Invoices,Label
Item,en,Item,Label
Items,en,Items,Label
Journal Entries,en,Journal Entries,Menu Item
Last searched,en,Last searched,Label
Loading,en,Loading,Label
Location,en,Location,Label
Main items,en,Main items,Accessible Label
Material,en,Material,Label
Material advanced search,en,Material advanced search,Accessible Label
Material group,en,Material group,Label
Material needs to be searched and resolved first,en,Material needs to be searched and resolved first,Tooltip
Material not found,en,Material not found,Notification
Material search,en,Material search,Label
materials found based upon your search criteria,en,materials found based upon your search criteria,Notification
Materials recently searched,en,Materials recently searched,Accessible Label
Menu groups,en,Menu groups,Accessible Label
Menu selected,en,Menu selected,Accessible Label
Movement type,en,Movement type,Label
Name,en,Name,Label
New,en,New,Button
New goods receipt,en,New goods receipt,Label
New goods receipt item details,en,New goods receipt item details,Label
New invoice,en,New invoice,Button
New purchase order,en,New purchase order,Label
New purchase order item details,en,New purchase order item details,Label
New requisition,en,New requisition,Label
New requisition item details,en,New requisition item details,Label
New vendor,en,New vendor,Label
New vendor company code details,en,New vendor company code details,Label
New vendor email details,en,New vendor email details,Label
New vendor invoice,en,New vendor invoice,Label
New vendor invoice item details,en,New vendor invoice item details,Label
New vendor phone details,en,New vendor phone details,Label
New vendor purchasing organization details,en,New vendor purchasing organization details,Label
No baseline date,en,No baseline date,Hint Text
No clearing date,en,No clearing date,Hint Text
No general ledger accounts found based upon your search criteria,en,No general ledger accounts found based upon your search criteria,Notification
No goods receipt,en,No goods receipt,Hint Text
No goods receipts were found based on your search criteria,en,No goods receipts were found based on your search criteria,Notification
No items,en,No items,Label
No materials found based upon your search criteria,en,No materials found based upon your search criteria,Notification
No payable,en,No payable,Hint Text
No payment,en,No payment,Hint Text
No purchase order,en,No purchase order,Hint Text
No purchase order item,en,No purchase order item,Hint Text
No purchase orders found based upon your search criteria,en,No purchase orders found based upon your search criteria,Notification
No purchase orders were found based on your search criteria,en,No purchase orders were found based on your search criteria,Notification
No recent goods receipts,en,No recent goods receipts,Accessible Label
No recent purchase orders,en,No recent purchase orders,Accessible Label
No recent requisitions,en,No recent requisitions,Hint Text
No recent vendor invoices,en,No recent vendor invoices,Accessible Label
No requisition,en,No requisition,Hint Text
No requisitions were found based on your search criteria,en,No requisitions were found based on your search criteria,Notification
No vendor invoice,en,No vendor invoice,Hint Text
No vendor invoices s were found based on your search criteria,en,No vendor invoices s were found based on your search criteria,Notification
No vendor invoices were found based on your search criteria,en,No vendor invoices were found based on your search criteria,Notification
No vendor payments were found based on your search criteria,en,No vendor payments were found based on your search criteria,Notification
No vendors found based upon your search criteria,en,No vendors found based upon your search criteria,Notification
One or more items needs to have quantity received greater than zero,en,One or more items needs to have quantity received greater than zero,Notification
Order number,en,Order number,Label
Order type,en,Order type,Label
Organization,en,Organization,Label
Payment,en,Payment,Label
Payment method,en,Payment method,Label
Payment number,en,Payment number,Label
Payment status,en,Payment status,Accessible Label
Payment terms,en,Payment terms,Label
Payment type,en,Payment type,Accessible Label
Payments,en,Payments,Label
Phone number,en,Phone number,Label
Phones,en,Phones,Label
Plant,en,Plant,Button
Postal code,en,Postal code,Label
Posted from,en,Posted from,Label
Posted to,en,Posted to,Label
Posting date,en,Posting date,Label
Purchase order,en,Purchase order,Label
Purchase order details,en,Purchase order details,Label
Purchase order has one or more invoices associated already,en,Purchase order has one or more invoices associated already,Notification
Purchase order item,en,Purchase order item,Label
Purchase order needs to be searched and resolved first,en,Purchase order needs to be searched and resolved first,Accessible Label
Purchase order not found,en,Purchase order not found,Notification
Purchase order search,en,Purchase order search,Label
Purchase order successfully created,en,Purchase order successfully created,Notification
Purchase order successfully updated,en,Purchase order successfully updated,Notification
Purchase order was successfully approved,en,Purchase order was successfully approved,Notification
Purchase Orders,en,Purchase Orders,Button
Purchase orders filters,en,Purchase orders filters,Label
purchase orders found based upon your search criteria,en,purchase orders found based upon your search criteria,Notification
Purchase orders recently searched,en,Purchase orders recently searched,Accessible Label
Purchasing group,en,Purchasing group,Label
Purchasing organization,en,Purchasing organization,Label
Purchasing organization already exists for vendor,en,Purchasing organization already exists for vendor,Notification
Purchasing organizations,en,Purchasing organizations,Label
Quantity,en,Quantity,Label
Quantity expected,en,Quantity expected,Button
Quantity received,en,Quantity received,Label
Quotes,en,Quotes,Menu Item
Received total quantity:,en,Received total quantity:,Label
Recent records,en,Recent records,Label
Recently searched,en,Recently searched,Label
record(s),en,record(s),Label
Refresh,en,Refresh,Accessible Label
Refresh vendor purchase orders,en,Refresh vendor purchase orders,Tooltip
Refresh vendor requisitions,en,Refresh vendor requisitions,Tooltip
Related goods receipts,en,Related goods receipts,Label
Related invoices,en,Related invoices,Label
Related purchase orders,en,Related purchase orders,Label
Related requisitions,en,Related requisitions,Label
Request details,en,Request details,Label
Requested from,en,Requested from,Label
Requested on,en,Requested on,Label
Requested to,en,Requested to,Label
Requisition,en,Requisition,Label
Requisition name,en,Requisition name,Label
Requisition not found,en,Requisition not found,Notification
Requisition search,en,Requisition search,Label
Requisition successfully created,en,Requisition successfully created,Notification
Requisition successfully updated,en,Requisition successfully updated,Notification
Requisition was successfully converted to purchase order,en,Requisition was successfully converted to purchase order,Notification
Requisitions,en,Requisitions,Menu Item
Requisitions filters,en,Requisitions filters,Label
requisitions found based upon your search criteria,en,requisitions found based upon your search criteria,Notification
Requisitions recently searched,en,Requisitions recently searched,Accessible Label
Reversal document,en,Reversal document,Label
Reversal reason,en,Reversal reason,Label
Reverse,en,Reverse,Button
Reverse posting,en,Reverse posting,Button
Save,en,Save,Button
Saving,en,Saving,Label
